event_id,ticker,window_days,reason
nfl_trade_deadline,KXSB-27-PIT,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-PIT,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-PHI,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-PHI,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-PHI,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NYJ,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NYJ,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NYJ,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NYG,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NYG,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NYG,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NO,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NO,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NO,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NE,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NE,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-NE,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-MIN,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-MIN,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-MIN,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-MIA,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-MIA,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-MIA,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-LV,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-LV,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-LV,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-LAR,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-LAR,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-LAR,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-LAC,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-LAC,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-LAC,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-KC,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-KC,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-KC,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-JAC,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-JAC,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-JAC,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-IND,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-IND,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-IND,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-HOU,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-HOU,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-HOU,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-GB,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-GB,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-GB,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-DET,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-DET,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-DET,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-DEN,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-DEN,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-DEN,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-DAL,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-DAL,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-DAL,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CLE,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CLE,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CLE,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CIN,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CIN,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CIN,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CHI,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CHI,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CHI,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CAR,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CAR,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-CAR,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-BUF,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-BUF,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-BUF,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-BAL,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-BAL,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-BAL,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-ATL,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-ATL,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-ATL,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-ARI,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-ARI,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-ARI,5,insufficient_baseline_history_d16
hormuz_retaliation_threat,KXCPI-26AUG-T0.9,1,no_window_data
hormuz_retaliation_threat,KXCPI-26AUG-T-0.3,1,no_window_data
hormuz_retaliation_threat,KXCPI-26AUG-T-0.2,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.4,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.4,3,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.4,5,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.3,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.3,3,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.3,5,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.2,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.2,3,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.2,5,no_window_data
hormuz_retaliation_threat,KXCPI-26NOV-T0.5,1,no_window_data
hormuz_retaliation_threat,KXCPI-26NOV-T0.5,3,no_window_data
hormuz_retaliation_threat,KXCPI-26NOV-T0.5,5,no_window_data
hormuz_retaliation_threat,KXCPI-26NOV-T0.3,1,no_window_data
hormuz_retaliation_threat,KXCPI-26NOV-T0.2,1,no_window_data
hormuz_retaliation_threat,KXCPI-26NOV-T0.0,1,no_window_data
hormuz_retaliation_threat,KXCPI-26OCT-T0.5,1,no_window_data
hormuz_retaliation_threat,KXCPI-26OCT-T0.5,3,no_window_data
hormuz_retaliation_threat,KXCPI-26OCT-T0.5,5,no_window_data
hormuz_retaliation_threat,KXCPI-26OCT-T0.4,1,no_window_data
hormuz_retaliation_threat,KXCPI-26OCT-T0.2,1,no_window_data
hormuz_retaliation_threat,KXCPI-26OCT-T-0.1,1,no_window_data
hormuz_retaliation_threat,KXCPI-26OCT-T-0.1,3,no_window_data
hormuz_retaliation_threat,KXCPI-26OCT-T0.0,1,no_window_data
hormuz_retaliation_threat,KXCPI-26AUG-T0.1,1,no_window_data
hormuz_retaliation_threat,KXCPI-26AUG-T-0.1,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.5,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.5,3,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.5,5,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.4,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.4,3,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.4,5,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.3,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.3,3,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.3,5,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.2,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.2,3,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.2,5,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.1,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.1,3,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.1,5,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.1,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.1,3,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T-0.1,5,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.0,1,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.0,3,no_window_data
hormuz_retaliation_threat,KXCPI-26JUL-T0.0,5,no_window_data
hormuz_retaliation_threat,KXCPICORE-26NOV-T1.0,1,insufficient_baseline_history_d16
hormuz_retaliation_threat,KXCPICORE-26NOV-T1.0,3,insufficient_baseline_history_d16
hormuz_retaliation_threat,KXCPICORE-26NOV-T1.0,5,insufficient_baseline_history_d16
hormuz_retaliation_threat,KXCPICORE-26NOV-T0.9,1,insufficient_baseline_history_d16
hormuz_retaliation_threat,KXCPICORE-26NOV-T0.9,3,insufficient_baseline_history_d16
hormuz_retaliation_threat,KXCPICORE-26NOV-T0.9,5,insufficient_baseline_history_d16
hormuz_retaliation_threat,KXCPICORE-26NOV-T0.8,1,insufficient_baseline_history_d16
hormuz_retaliation_threat,KXCPICORE-26NOV-T0.8,3,insufficient_baseline_history_d16
