ticker,series,event_id,event_type,category,t0_utc,discovery_source,status,market_type,subtitle,yes_sub_title,floor_strike,cap_strike,open_time,close_time,candle_source,n_candles
KXFED-26SEP-T5.00,KXFED,donovan_mitchell_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-07T10:01:00Z,live,finalized,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,24
KXCPI-26AUG-T0.5,KXCPI,donovan_mitchell_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-07T10:01:00Z,live,finalized,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,50
KXCPI-26AUG-T0.4,KXCPI,donovan_mitchell_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-07T10:01:00Z,live,finalized,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,47
KXFED-26SEP-T5.25,KXFED,dlo_six_team_trade_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-08T00:53:00Z,live,finalized,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,20
KXFED-26SEP-T5.00,KXFED,dlo_six_team_trade_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-08T00:53:00Z,live,finalized,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,24
KXCPI-26AUG-T0.5,KXCPI,dlo_six_team_trade_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-08T00:53:00Z,live,finalized,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,50
KXCPI-26AUG-T0.4,KXCPI,dlo_six_team_trade_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-08T00:53:00Z,live,finalized,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,47
KXFED-26OCT-T5.25,KXFED,jordan_walsh_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-23T12:27:00Z,live,active,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-10-28T17:55:00Z,live,29
KXFED-26OCT-T5.00,KXFED,jordan_walsh_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-23T12:27:00Z,live,active,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-10-28T17:55:00Z,live,36
KXCPI-26SEP-T0.6,KXCPI,jordan_walsh_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-23T12:27:00Z,live,active,binary,0.6%,Above 0.6%,0.6,,2026-07-20T18:00:00Z,2026-10-14T12:25:00Z,live,11
